respondent_id,choice_id,household_size,income_category,parent_education,school_i_quality,school_j_quality,school_i_distance,school_j_distance,chosen_option,option_0_chosen,option_1_chosen,option_2_chosen,option_3_chosen
0,0,3,high,tertiary,-1.1118801180469204,0.31890218468938336,0.33919258382921036,0.11967753721736135,3,0,0,0,1
0,1,3,high,tertiary,-0.580878134023515,-0.5251698071781478,0.4052228456645141,0.7255074589209543,2,0,0,1,0
0,2,3,high,tertiary,-0.4280460641762345,-0.7424068371191724,0.9125544364416941,1.21786937571955,1,0,1,0,0
0,3,3,high,tertiary,0.12221916522267956,-0.5154356620924533,0.37392250395483284,0.13452786175860848,3,0,0,0,1
0,4,3,high,tertiary,0.2910340012621822,-0.6355597402746394,1.1601816851707967,0.2603044679088973,1,0,1,0,0
0,5,3,high,tertiary,-1.265119113922642,1.0919922643576712,1.4682217918184572,1.582447595963595,1,0,1,0,0
0,6,3,high,tertiary,0.21863831605386247,0.8817610389486106,5.09887075853881,0.18531091790623125,1,0,1,0,0
0,7,3,high,tertiary,0.7737004168336818,-0.5381416616629597,0.8824539990597403,0.6596056802684984,3,0,0,0,1
0,8,3,high,tertiary,0.5821227947130392,0.8877484595933572,2.611325817575998,2.950429052087027,0,1,0,0,0
0,9,3,high,tertiary,-1.5081532895474827,1.0996469757848204,0.13133613160956578,0.7449767008207074,1,0,1,0,0
1,0,3,low,tertiary,0.36139560550841393,1.5380365664659692,2.947779933442729,1.3616294630205559,2,0,0,1,0
1,1,3,low,tertiary,0.08704706823817122,-0.29900735046586746,0.7547934175901997,1.4208743542683802,1,0,1,0,0
1,2,3,low,tertiary,-0.8084936028931876,-0.5017570435845365,5.3099001717612495,3.301774160969139,3,0,0,0,1
1,3,3,low,tertiary,0.09707754934804039,0.9686449905328892,3.2946965826071324,4.528485298572463,1,0,1,0,0
1,4,3,low,tertiary,0.29612027706457605,0.26105527217988933,0.013952818363301294,1.4297523186771115,2,0,0,1,0
1,5,3,low,tertiary,-0.16128571166600914,0.4040508568145384,1.4629056115203039,2.4281739537617097,3,0,0,0,1
1,6,3,low,tertiary,-1.9187712152990415,-0.026513875449216878,0.6704993527621634,0.07516895553104506,2,0,0,1,0
1,7,3,low,tertiary,-0.19236096478112252,0.30154734233361247,0.3130617219709395,1.3445442189472725,1,0,1,0,0
